x1,x2,x3,x4,x5,y,x6,x7,x8
200,24420,29600,28,47,71400,1,0,1
228,19993,32582,29,28,65200,1,0,1
392,4300,4300,22,0,7100,0,0,0
90,11140,11140,29,10,31000,1,0,0
126,33060,33060,28,60,87000,1,1,0
389,7562,9000,25,50,22800,1,0,1
380,3935,16000,23,1,7500,1,0,0
147,6146,7170,29,51,43300,1,1,1
463,2880,16000,23,0,7400,0,0,0
42,20300,20300,30,80,46600,1,1,1
50,8500,8500,32,20,49300,1,0,1
138,16000,22800,32,26,49600,0,0,1
60,11513,11513,26,37,34000,1,0,1
12,17172,19778,34,27,60100,0,0,1
200,17355,17355,25,6,17600,1,0,1
350,16200,22500,30,30,52500,1,1,1
300,18200,18200,29,90,25000,0,1,1
20,16426,23100,30,10,66000,0,0,1
30,13106,21625,37,35,41400,0,1,1
30,13880,17765,32,30,48900,0,1,1
240,1000,1000,24,0,7000,0,0,1
98,9475,19097,29,43,55000,1,0,1
70,11250,26300,23,2.5,7500,0,0,0
30,2260,2260,32,15,16000,0,1,1
44,3300,3600,28,3.5,30100,1,0,1
200,17355,17355,25,6,45600,1,0,1
350,16200,22500,30,30,32500,1,1,1
300,18200,18200,29,90,43000,0,1,1
300,16426,23100,30,10,66000,0,0,1
30,13880,17765,32,30,37900,0,1,1
